"Relative Energy Availability (fraction of Earth)","P Concentration (mol/m^3)","Steady State Biomass (cells/ml)","Flow (Mortality) Rate (same units as growth rate)"
1.995262314968883e-6,0.012589254117941675,1603.2397721630439,0.00002820090689172863
2.5118864315095823e-6,0.012589254117941675,2018.356020760573,0.000035502780809114284
3.162277660168379e-6,0.012589254117941675,2540.9545025230723,0.00004469526179907784
3.981071705534969e-6,0.012589254117941675,3198.8639806166198,0.00005626785640191732
5.011872336272725e-6,0.012589254117941675,4027.11813760948,0.00007083680533329697
6.309573444801943e-6,0.012589254117941675,5069.82073027253,0.00008917789145266293
7.943282347242822e-6,0.012589254117941675,6382.493455292465,0.00011226773861231282
0.00001,0.012589254117941675,8035.031383693487,0.0001413357975900277
0.000012589254117941661,0.012589254117941675,10115.423068876236,0.0001779297826148993
0.00001584893192461114,0.012589254117941675,12734.432996147758,0.00022399803540588492
0.00001995262314968883,0.012589254117941675,16031.49502448287,0.00028199319052554876
0.000025118864315095822,0.012589254117941675,20182.12955460487,0.00035500264298457513
0.000031622776601683795,0.012589254117941675,25407.27764479544,0.000446912734879343
0.000039810717055349695,0.012589254117941675,31985.046351341498,0.0005626153553323468
0.00005011872336272725,0.012589254117941675,40265.48633695934,0.0007082678778768114
0.00006309573444801943,0.012589254117941675,50689.1816774883,0.0008916201542333124
0.00007943282347242822,0.012589254117941675,63810.630707243,0.0011224257821904403
0.0001,0.012589254117941675,80327.64537611917,0.0014129592388205487
0.00012589254117941688,0.012589254117941675,101118.30680737317,0.0017786659268842486
0.00015848931924611142,0.012589254117941675,127287.40084482136,0.002238978973764703
0.00019952623149688788,0.012589254117941675,160224.73643969762,0.0028183450489564625
0.0002511886431509582,0.012589254117941675,201678.34175910195,0.003547511879929541
0.00031622776601683794,0.012589254117941675,253846.26074343224,0.004465142948956858
0.00039810717055349773,0.012589254117941675,319491.56158735335,0.005619840486502714
0.0005011872336272725,0.012589254117941675,402086.244094051,0.007072676794336472
0.0006309573444801943,0.012589254117941675,505991.0185924291,0.008900356547647665
0.0007943282347242822,0.012589254117941675,636679.4407872255,0.011199159315766531
0.001,0.012589254117941675,801016.6226751824,0.014089842073155228
0.0012589254117941688,0.012589254117941675,1.0076046640703076e6,0.017723715322549002
0.001584893192461114,0.012589254117941675,1.2672089672966688e6,0.022290141948946778
0.001995262314968883,0.012589254117941675,1.593281513833043e6,0.028025741629444826
0.002511886431509582,0.012589254117941675,2.0025986380210486e6,0.03522560924066254
0.0031622776601683794,0.012589254117941675,2.516031216281848e6,0.04425686244830083
0.003981071705534978,0.012589254117941675,3.159463501012988e6,0.05557480394913224
0.005011872336272725,0.012589254117941675,3.9648715026501575e6,0.06974189015718506
0.006309573444801942,0.012589254117941675,4.9715605119995e6,0.08744949915928316
0.00794328234724282,0.012589254117941675,6.227540685620148e6,0.10954212719267711
0.01,0.012589254117941675,7.790985021348784e6,0.13704303436113863
0.012589254117941687,0.012589254117941675,9.731659836613607e6,0.1711794066764962
0.01584893192461114,0.012589254117941675,1.213213787972236e7,0.21340369462512818
0.01995262314968883,0.012589254117941675,1.5088493701040024e7,0.2654058447119789
0.025118864315095822,0.012589254117941675,1.8710040419998564e7,0.32910866920550985
0.03162277660168379,0.012589254117941675,2.311750920802755e7,0.40663582333408105
0.039810717055349776,0.012589254117941675,2.843893256017715e7,0.5002393922410262
0.05011872336272725,0.012589254117941675,3.480243836899122e7,0.6121731391067906
0.06309573444801943,0.012589254117941675,4.232530262747667e7,0.744499942745199
0.07943282347242822,0.012589254117941675,5.109908056602572e7,0.898830255050358
0.1,0.012589254117941675,6.117155258865629e7,1.0760045309238857
0.12589254117941687,0.012589254117941675,7.252757189263315e7,1.275756338868092
0.15848931924611143,0.012589254117941675,8.507241994929194e7,1.4964195847314916
0.19952623149688828,0.012589254117941675,9.86223702854015e7,1.7347625290979425
0.25118864315095824,0.012589254117941675,1.1290703003467178e8,1.9860289750598057
0.31622776601683794,0.012589254117941675,1.2758607272700529e8,2.2442325971386246
0.39810717055349776,0.012589254117941675,1.422793480477109e8,2.5026865704340997
0.5011872336272725,0.012589254117941675,1.566052387313865e8,2.7546782664567657
0.6309573444801942,0.012589254117941675,1.7021932950097275e8,2.994149437819521
0.7943282347242822,0.012589254117941675,1.8284534331667e8,3.2162403852988746
1.,0.012589254117941675,1.9429294236824465e8,3.417603076393599
1.e-8,0.015848931924611134,9.438899199268507,1.413402252558816e-7
1.2589254117941661e-8,0.015848931924611134,11.882869910600602,1.7793679993534468e-7
1.5848931924611143e-8,0.015848931924611134,14.95964679401004,2.240091569955103e-7
1.9952623149688786e-8,0.015848931924611134,18.83307927904131,2.820108168302233e-7
2.511886431509582e-8,0.015848931924611134,23.709441727330663,3.5503057834192915e-7
3.162277660168379e-8,0.015848931924611134,29.84841804924863,4.469570085333534e-7
3.981071705534969e-8,0.015848931924611134,37.57693111283319,5.626855225421794e-7
5.011872336272725e-8,0.015848931924611134,47.30655208703283,7.083790818127327e-7
6.30957344480193e-8,0.015848931924611134,59.55541821595992,8.917963934173407e-7
7.943282347242822e-8,0.015848931924611134,74.97582586146143,1.1227050881547996e-6
1.e-7,0.015848931924611134,94.38896678680126,1.4134018803759087e-6
1.2589254117941662e-7,0.015848931924611134,118.82865988795673,1.7793674094833393e-6
